location,site,year1stTag,tag,plot,dah2011.cm,height2011.cm,basal_stems2011,fruit2011,comments2011,fruit.jul.2012,notes.jul.2012,dah.2012,hgt.2012,basal.stems.2012,frt.2012,frt.err.2012,notes.2012,dah.max.2012,mortality.2012
long_island,sbu_southp,2011,2042,2,1.19,116,4,0,,,,1.33,146,4,0,,,,
long_island,sbu_southp,2011,2043,2,0.23,22,1,0,,,,0.34,33,1,0,,,,
long_island,sbu_southp,2012,SB12-11,2,,,,,,,,NA,NA,NA,NA,,Not Found,,
long_island,sbu_southp,2012,SB12-12,2,,,,,,,,0.24,23,1,0,,,,
long_island,sbu_southp,2011,2014,3,0.35,29,1,0,,,,0.52,32,1,0,,,,
long_island,sbu_southp,2011,2015,3,0.43,84,2,0,one very large dead stem,,,0.66,90,2,0,,,,
long_island,sbu_southp,2011,2016,3,0.37,33,3,0,,,,0.37,38,3,0,,,,
long_island,sbu_southp,2011,2017,3,0.3,35,1,0,,,,0.3,41,1,0,,,,
long_island,sbu_southp,2011,2018,3,3.4,451,2,0,,2,,3.19,451,2,0,,,3.53,
long_island,sbu_southp,2011,2019,4,1.11,209,3,0,,,,1.13,207,3,0,,,,
long_island,sbu_southp,2011,2020,4,0.69,139,1,0,,,,0.78,137,1,0,,Maybe dead,,
long_island,sbu_southp,2012,SB12-19,4,,,,,,,,NA,NA,NA,NA,,Dead - recovered white tag,,
long_island,sbu_southp,2011,SB3,4,0.7,6,1,0,near large plant,,,NA,NA,NA,NA,,Not Found,,
long_island,sbu_southp,2011,2001,5,0.3,45,1,0,dah of living stem recorded,,,NA,NA,NA,NA,,Not Found; Possibly buried by fallend trees,,
long_island,sbu_southp,2011,2002,5,0.27,13,1,0,also marked with white clip,,,NA,NA,NA,NA,,Not Found; Possibly buried by fallend trees,,
